filer_name	ID	filer_description
Ivancie, Daniel|Committee for Dan Ivancie	5611	County Commissioner, Multnomah County, District 2|Nonpartisan
Speech Hearing Action Committee	255	Miscellaneous
Strobeck, Ken|Citizens for Ken Strobeck	1602	State Representative, 6th District|Republican
Citizens for Centennial Schools	5608	Measure|Supports Measure 26-17 - 2000|Supports Measure 26-97 - 2008|Supports Measure 26-175 - 2016
Friends of Clackamas Community College	11247	Measure
Oakley, Carolyn|Committee to Elect Carolyn Oakley	9366	County Commissioner, Benton County, Position 3|Republican
Bartel, Peter|Bartel for Eugene Water & Electric Board	6044	Board Member, Eugene Water and Electric Board, At Large|Nonpartisan
Constitution Party Of Columbia County	13082	Political Party|Constitution
Druckenmiller, Steve|Committee to Re-Elect Steve Druckenmiller	6888	County Clerk, Linn County|Nonpartisan
Jones, Dick|Jones, Dick, Citizens for	3061	State Representative, 40th District|Republican
Langton, Scot|Committee to Elect Scot Langton Deschutes County Assessor	5788	County Assessor, Deschutes County|Nonpartisan
Yes for Student Success	5592	Miscellaneous
Burgess, Bill|Bill Burgess for County Clerk	10527	County Clerk, Marion County|Nonpartisan
Coalition for Excellent Schools	6845	Miscellaneous
Fish, Nick|Nick Fish for City Council	5709	City Commissioner, City of Portland, Position 2|Nonpartisan
Hyde, Tony|Committee to Re-Elect Tony Hyde	6606	County Commissioner, Columbia County, Position 3|Nonpartisan
Jaramillo, Annabelle|Jaramillo for Commissioner Committee	9686	County Commissioner, Benton County, Position 3|Democrat
Kennemer, Bill|Friends of Bill Kennemer	5885	State Representative, 39th District|Republican
Lewis, Leslie|Citizens for Leslie Lewis	5726	County Commissioner, Yamhill County, Position 2|Nonpartisan
McArdle, John|Friends of John McArdle	5773	Mayor, City of Independence|Nonpartisan
Medford Education Association Political Action Committee	92	Miscellaneous
Nyquist, Roger|Friends of Roger Nyquist	10727	County Commissioner, Linn County, Position 2|Republican
O'Neil, Tassi|Committee to Elect Tassi (Mills) O'Neil	5673	County Clerk, Tillamook County|Nonpartisan
Oregon First	151	Miscellaneous
Protect Marriage Oregon	4947	Measure|Supports Measure 36 - 2004
Pryor, Chris|Chris Pryor for City Council	6029	City Councilor, City of Eugene, Ward 8|Nonpartisan
Schacht, Katherine|Supporters of Katherine Schacht	6204	Director, Emerald People's Utility District, Subdivision 4|Nonpartisan
Schrader, Martha|Friends of Martha Schrader	5724	County Commissioner, Clackamas County, Position 3|Nonpartisan
Yes For Schools	5580	Measure|Supports Measure 20-222 - 2014
Our Town Our Kids	5670	Miscellaneous
Alliance for Healthy Communities	4985	Miscellaneous
Anderson, Shari|Shari Anderson, Treasurer	6285	County Treasurer, Clackamas County|Nonpartisan
Balmer, Thomas|Re-Elect Supreme Court Justice Tom Balmer Committee	4193	Judge of the Supreme Court, Position 1|Nonpartisan
Baney, Tammy|Friends of Tammy Baney	5783	County Commissioner, Deschutes County, Position 3|Republican
Bates, Alan|Committee to Elect Dr. Alan Bates	3604	State Senator, 3rd District|Democrat
Bernard, Jim|Friends of Jim Bernard	5964	County Commissioner, Clackamas County, Position 1, Chair|Nonpartisan
Bode, Betty|Friends of Betty Bode	7405	City Councilor, City of Beaverton, Position 2|Nonpartisan
Brian, Tom|Citizens to Elect Tom Brian	6608	County Commissioner, Washington County, At Large|Nonpartisan
Brown, Kate|Kate Brown Committee	931	Governor|Democrat
Carlson, Janet|Friends of Janet Carlson	6425	County Commissioner, Marion County, Position 2|Republican
Citizens for Good Education	5618	Measure|Supports Measure 36-97 - 2006
Citizens for School Renovation	6304	Measure|Supports Measure 31-86 - 2014
Clark, Mike|Friends of Mike Clark	6032	Mayor, City of Eugene|Nonpartisan
Cogen, Jeff|Friends of Jeff Cogen	5571	Chair of the Board of County Commissioners, Multnomah County|Nonpartisan
Community in Support of NC12	5926	Measure|Supports Measure 3-229 - 2006
Create Jobs PAC	7846	Measure
David Douglas Citizens for Schools	5587	Measure|Supports Measure 26-135 - 2012
Deckert, Ryan|Ryan Deckert for Washington County Chair	2423	County Commissioner, Washington County, At Large|Nonpartisan
Duyck, Andy|Friends of Andy Duyck	8065	County Commissioner, Washington County, At Large|Nonpartisan
Edwards, Chris|Friends of Chris Edwards	5158	State Senator, 7th District|Democrat
For Tigards Future	5789	Measure|Supports Measure 34-114 - 2006
Forest Grove Citizens for Public Safety PAC	6624	Measure|Supports Measure 34-196 - 2012
Friends of Chemeketa	6610	Measure|Supports Measure 24-240 - 2006
George, Kathy|Friends of Kathy George	5888	County Commissioner, Yamhill County, Position 1|Nonpartisan
Giusto, Bernie|Bernie Giusto for Sheriff	5678	County Sheriff, Multnomah County|Nonpartisan
Grensky, Ronald|Citizens to Elect Ron Grensky Judge	5297	Judge of the Circuit Court, 1st District, Position 9|Nonpartisan
Griffin-Valade, LaVonne|Friends of LaVonne Griffin-Valade	5584	City Auditor, City of Portland|Nonpartisan
Harrington, Kathryn|Friends of Kathryn Harrington	5719	County Commissioner, Washington County, At Large|Nonpartisan
Hermann, Bob|Bob Hermann for Washington County District Attorney	2837	District Attorney, Washington County|Nonpartisan
Hillsboro Committee	6087	Measure|Supports Measure 34-273 - 2017|Supports Measure 34-195 - 2012
Hughes, Mike|Mike Hughes for City Council Committee	5803	City Councilor, City of West Linn|Nonpartisan
Libraries Yes! Committee	5677	Measure|Supports Measure 26-143 - 2012
Lindly, Don|Committee to Elect Don Lindly County Commissioner	5619	County Commissioner, Lincoln County, Position 1|Nonpartisan
Mays, Keith|Friends of Keith Mays	10167	Mayor, City of Sherwood|Nonpartisan
Milne, Patti|Friends of Patti Milne	6284	State Representative, 22nd District|Republican
Modrell, Linda|Linda Modrell For Commissioner	5544	County Commissioner, Benton County, Position 1|Democrat
Morrisette, Bill|Morrisette for Senate Committee	2748	State Senator, 6th District|Democrat
Newell, David|Friends of David Newell	5339	State Representative, 37th District|Republican
Ogden, Lou|Vote 4 Lou Ogden	7606	County Commissioner, Washington County, At Large|Nonpartisan
Oregon Family Council Issues PAC	5446	Miscellaneous
Oregonians for Public Safety - PAC	2499	Measure|Opposes Measure 40 - 2006|Opposes Measure 41 - 2006|Opposes Measure 48 - 2006
People for Libraries	6104	Measure|Supports Measure 34-235 - 2015|Supports Measure 34-235 - 2015
Portlanders for Schools	5583	Measure|Supports Measure 26-161 - 2014
Saltzman, Dan|Friends of Dan Saltzman	5718	City Commissioner, City of Portland, Position 3|Nonpartisan
School Employees Exercising Democracy	249	Miscellaneous
Schrader, Kurt|Schrader for State Senate (Kurt)	1555	State Senator, 20th District|Democrat
Stewart, Faye|Friends of Faye	5588	County Commissioner, Lane County, East Lane, Position 5|Nonpartisan
Stiegler, Judith|Judy for District 54	4651	State Representative, 54th District|Democrat
Strosser, Robert|Committee to Elect Bob Strosser	6424	County Commissioner, Jackson County, Position 2|Republican
Taxpayers for a Better Grants Pass	12475	Measure|Supports Measure 17-67 - 2015
Thompson, Terry|Terry Thompson for County Commission	5624	County Commissioner, Lincoln County, Position 3|Nonpartisan
Tu, Trung|Committee to Elect Trung Tu for Judge	5342	Judge of the Circuit Court, 4th District, Position 28|Nonpartisan
Union County Democratic Central Committee	343	Political Party|Democrat
Wagner, Wes|Wes Wagner for Governor	5422	Governor|Libertarian
Wheeler, Ted|Friends of Ted Wheeler	5591	Mayor, City of Portland|Nonpartisan
Yes for Beaverton Schools	6446	Measure|Supports Measure 34-139 - 2006|Supports Measure 34-193 - 2011|Supports Measure 34-204 - 2013
13 Enviros PAC	5505	Miscellaneous
American Federation of Teachers-Oregon Issue PAC	5486	Miscellaneous
Avent, Mike|Committee to Elect Mike Avent	8687	Commissioner, Port of St. Helens, Position 2|Nonpartisan
Beaverton Teachers Political Action Committee	17	Miscellaneous
Benton County Republican Central Committee	292	Political Party|Republican
Citizen Action for Political Education	33	Miscellaneous
Clackamas County Republican Party	294	Political Party|Republican
Clem, Brian|Oregonians for Clem	5133	State Representative, 21st District|Democrat
Concerned Oregonians PAC	12512	Miscellaneous
Courtney, Peter|Peter Courtney for State Senate	470	State Senator, 11th District|Democrat
Democratic Party of Oregon	353	Political Party|Democrat
Dentists of Oregon PAC	54	Miscellaneous
DeShazer, Colleen|Committee To Elect DeShazer	8667	Commissioner, Port of St. Helens, Position 3|Nonpartisan
Devlin, Richard|Friends of Richard Devlin	1670	State Senator, 19th District|Democrat
Doctors for Healthy Communities	5493	Miscellaneous
Fire Fighters Political Action Committee	2109	Miscellaneous
Healthy Communities Coalition	5514	Measure|Supports Measure 50 - 2007
International Union of Operating Engineers Local 701 PAC	1945	Measure|Supports Measure 50 - 2007
Joint Council of Teamsters No. 37 Political Fund	80	Miscellaneous
Josephine County Republican Central Committee	319	Political Party|Republican
Keep Portland Safe PAC	4167	Miscellaneous
Kotek, Tina|Friends of Tina Kotek	4792	State Representative, 44th District|Democrat
Lane Professional Firefighters Association	60	Miscellaneous
Lee, Chuck|Chuck Lee Campaign Committee	5328	Director, Salem-Keizer School District, Zone 6|Nonpartisan
Lewis-Wolfram, Cyndi|Cyndi for County Clerk	9927	County Clerk, Clackamas County|Nonpartisan
Libertarian Party of Multnomah County	2891	Political Party|Libertarian
Linn County Democratic Central Committee	328	Political Party|Democrat
Local #1159 FirePAC	229	Miscellaneous
Local 48 Electricians PAC	4572	Miscellaneous
Mid-Valley Affordable Housing Coalition	2070	Miscellaneous
Northwest Grocery Assoc. PAC	152	Miscellaneous
NWOregon Labor Council, Comm on Pol Ed Dept	108	Miscellaneous
Oregon Family Farm Association PAC	3597	Miscellaneous
Oregon Fuels Association PAC	2717	Miscellaneous
Oregon League of Conservation Voters PAC	2352	Miscellaneous
Oregon Medical PAC	171	Miscellaneous
Oregon Neighborhood Store Association Political Action Committee	3428	Miscellaneous
Oregon PA (Physician Assistants) PAC	4939	Miscellaneous
Oregon Podiatry Political Action Committee	182	Miscellaneous
Oregon Sierra Club PAC	252	Miscellaneous
Oregonians for Affordable Housing	2069	Miscellaneous
Oregonians in Action PAC	2793	Miscellaneous
Oregonians to Maintain Community Standards	1579	Miscellaneous
PAC 483	1869	Miscellaneous
Pacific Green Party of Oregon	765	Political Party|Pacific Green
Parent's Education Association P.A.C.	216	Miscellaneous
People for Oregon Libraries Political Action Committee	167	Miscellaneous
Plumbers & Steamfitters PAC	221	Miscellaneous
Polk County Democratic Central Committee	337	Political Party|Democrat
Portland Association of Teachers PAC	260	Miscellaneous
Portland Metro Fire Fighters PAC	223	Miscellaneous
Regan, Bobbie|Bobbie Regan for Portland School Board	7305	Director, Portland School District, Zone 3|Nonpartisan
Service Employees Int'L Union Local 49 Committee on Political Education	4213	Miscellaneous
Stand for Children Oregon PAC	5207	Miscellaneous
Taxpayers Association of Oregon PAC	3889	Miscellaneous
Torrey, James|Jim Torrey for Mayor	4676	Mayor, City of Eugene|Nonpartisan
Working Families Party of Oregon	5528	Political Party|Working Families
Yamhill County Democrats	350	Political Party|Democrat
Accion Politica PCUNista PAC	4015	Miscellaneous
Adamson, Jessica|Friends of Jessica Adamson	12510	Director, Sherwood School District, Position 1|Nonpartisan
AG-PAC	3	Miscellaneous
AGC Committee for Action	4	Miscellaneous
Alley, Allen|Friends of Allen Alley	12878	Governor|Republican
Alliance - PAC	4797	Miscellaneous
Alliance for Oregon's Elders	5203	Miscellaneous
Amalgamated Transit Union 757 Political Fund	3094	Miscellaneous
American Council of Engineering Companies - Oregon PAC	4016	Miscellaneous
American Federation of State, County and Municipal Employees Local 3580 PAC	2998	Miscellaneous
American Federation of Teachers-Oregon Candidate PAC	113	Miscellaneous
Americans for Liberty PAC	7485	Miscellaneous
Armstrong, Rex|Committee to Re-Elect Judge Armstrong	5239	Judge of the Court of Appeals, Position 10|Nonpartisan
Arnold, Catherine|Committee to Elect Catherine Arnold	12568	City Councilor, City of Beaverton, Position 4|Nonpartisan
Asian American Coalition	1322	Miscellaneous
Atkinson, Jason|Friends of Jason Atkinson	2864	State Senator, 2nd District|Republican
Avakian, Brad|Committee to Elect Brad Avakian	4152	Secretary of State|Democrat
Bailey, Jules|Friends of Jules	12498	Mayor, City of Portland|Nonpartisan
Baker County Democratic Central Committee	289	Political Party|Democrat
Baker County Republican Central Committee	290	Political Party|Republican
Baker, Mike|Mike Baker for Mayor	13335	Mayor, City of Roseburg|Nonpartisan
Bar Pilots of the Columbia River Political Committee	4100	Miscellaneous
Barker, Jeff|Friends of Jeff Barker	4270	State Representative, 28th District|Democrat
Barnhart, Philip|Friends of Phil Barnhart	3481	State Representative, 11th District|Democrat
Barton, Brent|Friends of Brent Barton	12493	State Representative, 40th District|Democrat
Basic Rights Oregon Equality PAC	3087	Miscellaneous
Beikman, Monique|Committee to Elect Monique Beikman	13422	City Councilor, City of Tualatin, Position 2|Nonpartisan
Bend Fire Fighters Association PAC Fund	5049	Miscellaneous
Benton County Democratic Central Committee	291	Political Party|Democrat
Bentz, Cliff|Cliff Bentz for Oregon	11508	State Senator, 30th District|Republican
Berger, Vicki|Friends of Vicki Berger	4112	State Representative, 20th District|Republican
Bike Walk Vote PAC	5029	Miscellaneous
BikePac of Oregon	19	Miscellaneous
BOMA Oregon	4554	Miscellaneous
Bonamici, Suzanne|Friends of Suzanne Bonamici	5254	State Senator, 17th District|Democrat
Boone, Deborah|Boone for State Representative	4846	State Representative, 32nd District|Democrat
Boquist, Brian|Boquist Leadership Fund	4893	State Senator, 12th District|Republican
Breidenthal, Douglas|Friends of Doug Breidenthal	12684	County Commissioner, Jackson County, Position 2|Republican
Brown Jr, Jack|Jack Brown PAC	12902	County Commissioner, Josephine County, Position 1|Nonpartisan
Buckley, Peter|Committee to Re-Elect Peter Buckley	4824	State Representative, 5th District|Democrat
Building a Better Oregon	1948	Miscellaneous
Building Trades PAC	12845	Miscellaneous
Bull Mountain Residents for Incorporation	6088	Miscellaneous
Burdick, Ginny|Friends of Ginny Burdick	5434	State Senator, 18th District|Democrat
Burley, Charles|Chuck Burley for State Representative	4727	State Representative, 54th District|Republican
Butterfield, Stan|Friends of Butterfield	12547	Judge of the Circuit Court, 12th District, Position 1|Nonpartisan
Cable Operators Political Action Committee	26	Miscellaneous
Cameron, Kevin|Kevin Cameron for Oregon	5089	County Commissioner, Marion County, Position 1|Republican
Cannon, Michael|Mike Cannon for Commissioner	13005	County Commissioner, Umatilla County, Position 1|Nonpartisan
Cemetery Association of Oregon PAC	3082	Miscellaneous
Central Oregon Association of Realtors PAC	5785	Miscellaneous
CenturyLink Oregon Employees' Political Action Committee	273	Miscellaneous
CFM State PAC	2731	Miscellaneous
ChamberPAC	5067	Miscellaneous
Chereck, Thomas|Thomas M. Chereck Jr.	12942	County Clerk, Marion County|Nonpartisan
Christian Victory PAC	1607	Miscellaneous
Citizens Alliance for Responsible Education	34	Miscellaneous
Citizens for Responsible Government	10607	Miscellaneous
Clackamas County Democratic Central Committee	293	Political Party|Democrat
Clatsop County Democratic Central Committee	295	Political Party|Democrat
Clatsop County Republican Central Committee	296	Political Party|Republican
Collette, Carlotta|Re-Elect Carlotta Collette to Metro	12594	Metro Councilor, District 2|Nonpartisan
Columbia County Democratic Central Committee	297	Political Party|Democrat
Columbia County Republican Central Committee	298	Political Party|Republican
Commercial Association of Brokers PAC	5576	Miscellaneous
Communities for Oregonians With Disabilities	944	Miscellaneous
Concerned Tangent Home and Business Owners	13572	Measure|Opposes Measure 22-128 - 2014|Opposes Measure 22-129 - 2014
Constitution Party of Josephine County	8686	Political Party|Constitution
Constitution Party of Oregon	3934	Political Party|Constitution
Coos County Republican Central Committee	300	Political Party|Republican
Corrections Political Action Committee	3931	Miscellaneous
Cottage Grove Blackberry Pie Society	5005	Miscellaneous
Crawford, Seth|Committee to Elect Seth Crawford	12688	County Judge, Crook County|Nonpartisan
Credit Union Legislative Action Fund	51	Miscellaneous
Crook County Democratic Central Committee	5041	Political Party|Democrat
Cuff, Bruce|Friends of Bruce Cuff	12758	Governor|Republican
Curry County Democratic Central Committee	302	Political Party|Democrat
Curry County Republican Central Committee	303	Political Party|Republican
Dairy PAC	2988	Miscellaneous
Davis Wright Tremaine Client PAC (Oregon)	5425	Miscellaneous
Defend Oregon	13130	Measure
Delman, Mike|Friends of Mike Delman	6324	Director, Multnomah Education Service District, Position 2, At-Large|Nonpartisan
Dembrow, Michael|Friends of Michael Dembrow	10967	State Senator, 23rd District|Democrat
Democracy Support	13360	Miscellaneous
Democratic Party of Coos County	299	Political Party|Democrat
Democratic Party of Lane County	324	Political Party|Democrat
Democrats of Milton-Freewater	5390	Miscellaneous
Deschutes County Democratic Central Committee	304	Political Party|Democrat
Deschutes County Republican Central Committee	618	Political Party|Republican
Dial, Everett|Committee to Re-Elect Everett Dial	12876	District Attorney, Curry County|Nonpartisan
Dickerson For Sheriff	10747	County Sheriff, Columbia County|Nonpartisan
Dingfelder, Jackie|Friends of Jackie Dingfelder	4090	State Senator, 23rd District|Democrat
Donald M Nordin	12977	State Representative, 7th District|Democrat
Douglas County Democratic Central Committee	306	Political Party|Democrat
Douglas County Physicians PAC	12848	Miscellaneous
Douglas County Republican Central Committee	307	Political Party|Republican
Doyle, Dennis|Friends to Re-elect Mayor Denny Doyle	12631	Mayor, City of Beaverton|Nonpartisan
Elect Deborah Kafoury	12047	Chair of the Board of County Commissioners, Multnomah County|Nonpartisan
Elect Marland Henderson Tigard City Council	13368	City Councilor, City of Tigard, At-Large|Nonpartisan
Election Information Advisory Committee	13526	Measure|Supports Measure 34-248 - 2016
Esquivel, Sal|Committee to Elect Sal Esquivel	4813	State Representative, 6th District|Republican
Estacada Firefighters PAC	13478	Measure|Supports Measure 3-409 - 2012
Eugene Education Association - PAC	59	Miscellaneous
Farmer's Employee and Agent PAC of Oregon	3396	Miscellaneous
Ferrioli, Ted|Friends of Ted Ferrioli	3215	State Senator, 30th District|Republican
Fifth Congressional District Republican Party	2434	Political Party|Republican
Florence Area Democratic Club	3791	Miscellaneous
Flores, Linda|Friends of Linda Flores	4318	State Representative, 51st District|Republican
Foresight Ophthalmology Political Action Committee	66	Miscellaneous
Forthan, Bob|Committee to Build Dome Homes	12905	Governor|Republican
Frasier, Robert|Committee to Re- Elect Paul Frasier Coos County District Attorney	10467	District Attorney, Coos County|Nonpartisan
Freeman, Tim|Friends of Tim Freeman	11927	County Commissioner, Douglas County, Position 2|Nonpartisan
Friends of Keizer Fire District PAC	13418	Measure|Supports Measure 24-389 - 2015
Friends of Naturopathic Medicine	69	Miscellaneous
Friends of North Plains	6604	Miscellaneous
Future PAC, House Builders	1524	Caucus
Gardner, Alex|Alex Gardner for DA	10767	District Attorney, Lane County|Nonpartisan
Garrett, Chris|Friends of Chris Garrett	12511	Judge of the Court of Appeals, Position 1|Nonpartisan
Gelser, Sara|Sara Gelser for State Senate	4680	State Senator, 8th District|Democrat
