election,active_date,status,active_reason,committee_id
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,5611
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,5611
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,5611
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,5611
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,5611
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,5611
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,5611
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,5611
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,5611
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,5611
1998 General Election,,Active,,5611
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,255
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,255
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,255
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,255
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,255
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,255
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,255
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,255
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,255
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,255
2006 General Election,,Inactive,,255
2006 Primary Election,,Inactive,,255
2004 General Election,,Inactive,,255
2004 Primary Election,,Inactive,,255
2002 General Election,,Inactive,,255
2002 Primary Election,,Inactive,,255
2000 General Election,,Inactive,,255
2000 Primary Election,,Inactive,,255
1998 General Election,,Inactive,,255
1998 Biennial Primary Election,04/20/1998,Active,System Generated / Primary or General Election,255
1996 General Election,,Inactive,,255
1996 Primary Election,,Inactive,,255
1994 General Election,,Inactive,,255
1994 Primary,,Inactive,,255
1992 General Election,,Inactive,,255
1992 Primary Election,,Inactive,,255
1990 General Election,,Inactive,,255
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,1602
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,1602
2014 General Election,,Inactive,User Requested Inactivation,1602
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,1602
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,1602
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,1602
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,1602
2010 Primary Election,,Inactive,User Requested Inactivation,1602
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,1602
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,1602
1998 General Election,01/26/2011,Active,Statement of Organization,1602
1998 Biennial Primary Election,,Inactive,,1602
1996 General Election,,Inactive,,1602
1996 Primary Election,,Inactive,,1602
1994 General Election,,Inactive,,1602
1994 Primary,,Inactive,,1602
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,5608
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,5608
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,5608
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,5608
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,5608
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,5608
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,5608
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,5608
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,5608
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,5608
2000 General Election,,Active,,5608
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,11247
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,11247
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,11247
2014 Primary Election,12/14/2012,Active,System Generated / Primary or General Election,11247
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,11247
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,11247
2011 May Election,04/06/2011,Active,Statement of Organization,11247
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,11247
2010 Primary Election,,Inactive,User Requested Inactivation,11247
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,11247
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,11247
2000 General Election,05/21/2010,Active,Statement of Organization,11247
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,9366
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,9366
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,9366
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,9366
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,9366
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,9366
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,9366
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,9366
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,9366
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,9366
2000 General Election,03/02/2011,Active,Statement of Organization,9366
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,6044
2016 Primary Election,,Inactive,User Requested Inactivation,6044
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,6044
2014 Primary Election,,Inactive,User Requested Inactivation,6044
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,6044
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,6044
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,6044
2010 Primary Election,,Inactive,User Requested Inactivation,6044
2008 General Election,,Inactive,User Requested Inactivation,6044
2008 Primary Election,,Inactive,User Requested Inactivation,6044
2002 Primary Election,,Active,,6044
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,13082
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,13082
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,13082
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,13082
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,13082
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,13082
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,13082
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,13082
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,13082
2002 Primary Election,,Active,,13082
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,6888
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,6888
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,6888
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,6888
2012 General Election,,Inactive,User Requested Inactivation,6888
2012 Primary Election,,Inactive,User Requested Inactivation,6888
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,6888
2010 Primary Election,,Inactive,User Requested Inactivation,6888
2008 General Election,,Inactive,User Requested Inactivation,6888
2008 Primary Election,,Inactive,User Requested Inactivation,6888
2002 Primary Election,05/07/2009,Active,Statement of Organization,6888
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,3061
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,3061
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,3061
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,3061
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,3061
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,3061
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,3061
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,3061
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,3061
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,3061
2002 General Election,,Inactive,,3061
2002 Primary Election,12/24/2001,Active,System Generated / Primary or General Election,3061
2000 General Election,,Inactive,,3061
2000 Primary Election,,Inactive,,3061
1998 Biennial Primary Election,,Inactive,,3061
2018 Primary Election,12/20/2017,Active,System Generated / Primary or General Election,5788
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,5788
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,5788
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,5788
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,5788
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,5788
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,5788
2010 General Election,,Inactive,User Requested Inactivation,5788
2010 Primary Election,11/13/2009,Active,System Generated / Primary or General Election,5788
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,5788
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,5788
2002 Primary Election,,Active,,5788
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,5592
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,5592
2014 General Election,,Inactive,User Requested Inactivation,5592
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,5592
2013 November Election,09/03/2013,Active,Statement of Organization,5592
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,5592
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,5592
2010 General Election,,Inactive,User Requested Inactivation,5592
2010 Primary Election,,Inactive,User Requested Inactivation,5592
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,5592
2008 Primary Election,,Inactive,User Requested Inactivation,5592
2002 General Election,,Active,,5592
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,10527
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,10527
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,10527
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,10527
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,10527
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,10527
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,10527
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,10527
2008 General Election,07/08/2008,Active,Statement of Organization,10527
2008 Primary Election,11/26/2007,Active,Statement of Organization,10527
2004 General Election,,Active,,10527
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,6845
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,6845
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,6845
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,6845
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,6845
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,6845
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,6845
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,6845
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,6845
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,6845
2004 General Election,,Active,,6845
