,1
#Misc,1
@Misc,2
Aaron_Brian,1
Abercrombie_Sandra_A,2
Abercrombie_Sandra_A_(R),1
Abercrombie_Sandra_A_(REP),1
Abernethy_Pamela_L,1
Abshier_Thomas_Lee,1
Ackerman_Robert,1
Ackerman_Robert_(D),1
Adams_Jeff_(L),2
Adamson_Jessica,1
Adamson_Jessica_(D),1
Adkisson_Marci_W,1
Adkisson_Marci_Warner,1
Adler_A_Michael,2
Ahern_Daniel_J,1
Ahern_Mike,1
Ahern_Mike_(D),1
Aiello_Lynn,1
Aiello_Lynn_(R),1
Ainge_Doug_(DEM),1
Akin_David_M_(L),1
Alamarez_John,1
Albies_J_Ashlee_(W),1
Albrecht_Cheryl,2
Albright_Thomas_Ray,1
Alley_Allen,2
Alley_Allen_(R),1
Allison_Hilda_M,2
Ambrosini_George,2
Ambrosini_George_W,2
Ameri_Goli,1
Ameri_Goli_(R),1
Amiton_Marshall_L,1
Anderson_Beverly,1
Anderson_Bryce_Reed,1
Anderson_Gordon_S,1
Anderson_Gordon_S_(R),1
Anderson_Ross_C_(Rocky)_(P),1
Andrews_Deborah_L,1
Antico_Raphael_C,1
Aranas_Paul_(P),1
Arcune_Sarah,2
Arlow_Allan_J,2
Armstrong_Rex,2
Arnold_G_Philip_(Phil),2
Ashby_Wells_B,3
Ashcroft_Lynn,1
Atchison_Stephen,2
Atherton_Kerry_(D),1
Atkinson_Jason_A,3
Atkinson_Jason_A_(R),2
Atkinson_Jason_A_(WI),1
Auer_Aaron_(C),1
Avakian_Brad,4
Avakian_Brad_(D),2
Avakian_Brad_(WI),1
Avera_Fred_E,2
Avera_Sally,2
Bachart_Sheryl,1
Backa_Bev,1
Backa_Bev_(D),1
Backlund_Vic,1
Badnarik_Michael_(L),1
Baertschiger_Jr_Herman,1
Baertschiger_Jr_Herman_(R),1
Bagley_Beth,2
Bailey_Charlie,2
Bailey_D_Charles,1
Bailey_Jodi_(R),1
Baisinger_Glen_D,1
Baker-Monaghan_Rosemary,1
Baker_Aaron,1
Baker_Aaron_(R),1
Baker_Lindi,1
Baker_Linidi,1
Baldwin_Chuck_(C),1
Baldwin_Raymond_(C),2
Baldwin_Richard_C,3
Ballard_Elizabeth,1
Ballard_John_L,1
Balmer_Thomas_A,1
Balyeat_Andrew_C,1
Balyeat_Andy,1
Bangs_Christopher_Cameron,1
Bangs_Christopher_Cameron_(D),1
Banta_Jack_L,1
Banzer_Cindy,1
Barber_Benjamin_Jay,1
Barker_Jeff,5
Barker_Jeff_(D),5
Barker_Jeff_(DEM),1
Barnack_Tim,2
Barnes_Lew,2
Barnes_Lew_(R),1
Barnes_Lew_(REP),1
Barnett_Bernice,2
Barnhart_Phil,5
Barnhart_Phil(WI),1
Barnhart_Phil_(D),5
Barnhart_Phil_(DEM),1
Barr_Bob_(L),1
Barreto_Greg_(R),1
Barron_Richard_L,2
Barton_Brent,3
Barton_Brent_(D),3
Barton_Brent_(DEM),1
Bates_Alan,2
Bates_Alan_(D),2
Bates_Alan_(DEM),1
Bates_Alan_C,1
Bates_Alan_C_(D),1
Bates_Sean_(I),1
Baurer_Herman_Joseph,1
Baurer_Herman_Joseph_(C),1
Baxter_Greg,1
Baxter_Gregory_L,1
Beaman_Cynthia_L,1
Bearden_Frank_L,1
Bearden_Mary_Ann,2
Bechtold_Paula_M,2
Beckers_Bill_(R),1
Beckman_Douglas_G,1
Beem_David_W,1
Beglau_Walter_M,2
Beilstein_Mike_(PG),2
Beilstein_Mike_(PGP),1
