committee_name,committee_description,effective,expiration,filing_type,committee_id
Committee for Dan Ivancie,"County Commissioner, Multnomah County, District 2, Nonpartisan",01/31/2007,,Amendment,5611
Committee for Dan Ivancie,"County Commissioner, Multnomah County, District 2, Nonpartisan",09/10/1999,01/30/2007,Original,5611
Oregon Sierra Club PAC,Miscellaneous,03/14/2016,,Amendment,252
Oregon Sierra Club PAC,Miscellaneous,07/26/2010,03/14/2016,Amendment,252
Oregon Sierra Club PAC,Miscellaneous,01/28/2010,07/26/2010,Amendment,252
Oregon Sierra Club PAC,Miscellaneous,11/20/2009,01/28/2010,Amendment,252
Oregon Sierra Club PAC,Miscellaneous,08/07/2009,11/19/2009,Amendment,252
Oregon Sierra Club PAC,Miscellaneous,03/20/2009,08/06/2009,Amendment,252
Oregon Sierra Club Political Action Committee,Miscellaneous,10/08/2008,03/19/2009,Amendment,252
Oregon Sierra Club Political Action Committee,Miscellaneous,11/05/2007,10/07/2008,Amendment,252
Oregon Sierra Club Political Action Committee,Miscellaneous,10/16/2007,11/04/2007,Amendment,252
Oregon Sierra Club Political Action Committee,Miscellaneous,08/08/2007,10/15/2007,Amendment,252
Oregon Sierra Club Political Action Committee,Miscellaneous,10/26/2006,08/07/2007,Amendment,252
Oregon Sierra Club Political Action Committee,Miscellaneous,08/15/2006,10/25/2006,Amendment,252
Oregon Sierra Club Political Action Committee,Miscellaneous,10/10/2005,08/14/2006,Amendment,252
Oregon Sierra Club Political Action Committee,Miscellaneous,07/14/2005,10/09/2005,Amendment,252
Oregon Sierra Club Political Action Committee,Miscellaneous,10/20/2004,07/13/2005,Amendment,252
Oregon Sierra Club Political Action Committee,Miscellaneous,08/30/2004,10/19/2004,Amendment,252
Oregon Sierra Club Political Action Committee,Miscellaneous,08/18/2004,08/29/2004,Amendment,252
Oregon Sierra Club Political Action Committee,Miscellaneous,10/01/2003,08/17/2004,Amendment,252
Oregon Sierra Club PAC,Miscellaneous,08/09/2001,09/30/2003,Amendment,252
Oregon Sierra Club PAC,Miscellaneous,10/09/2000,08/08/2001,Amendment,252
Oregon Sierra Club PAC,Miscellaneous,08/03/2000,10/08/2000,Amendment,252
"Oregon Chapter, Sierra Club, Political Committee",Miscellaneous,06/18/1998,08/02/2000,Amendment,252
Oregon Chapter Sierra Club Political Committee,Miscellaneous,09/10/1997,06/17/1998,Amendment,252
Oregon Chapter Sierra Club Political Committee,Miscellaneous,11/14/1996,09/09/1997,Amendment,252
Oregon Chapter Sierra Club Political Committee,Miscellaneous,10/04/1996,11/13/1996,Amendment,252
Oregon Chapter Sierra Club P C,Miscellaneous,11/02/1994,10/03/1996,Amendment,252
Oregon Chapter Sierra Club Political Committee,Miscellaneous,09/19/1994,11/01/1994,Amendment,252
Oregon Chapter Sierra Club Political Committee,Miscellaneous,06/10/1994,09/18/1994,Amendment,252
Oregon Chapter Sierra Club Political Committee,Miscellaneous,05/24/1994,06/09/1994,Amendment,252
Oregon Chapter Sierra Club Political Committee,Miscellaneous,02/28/1994,05/23/1994,Amendment,252
