committee_name,committee_description,effective,expiration,filing_type,committee_id
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,09/26/2016,,Amendment,113
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,04/04/2016,09/26/2016,Amendment,113
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,02/03/2014,04/04/2016,Amendment,113
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,11/04/2013,02/03/2014,Amendment,113
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,10/11/2013,11/04/2013,Amendment,113
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,10/25/2012,10/11/2013,Amendment,113
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,10/25/2012,10/25/2012,Amendment,113
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,10/07/2009,10/25/2012,Amendment,113
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,09/29/2009,10/06/2009,Amendment,113
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,12/04/2007,09/28/2009,Amendment,113
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,10/12/2007,12/03/2007,Amendment,113
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,12/04/2006,10/11/2007,Amendment,113
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,10/12/2006,12/03/2006,Amendment,113
American Federation of Teachers-Oregon Candidate PAC,Miscellaneous,09/01/2006,10/11/2006,Amendment,113
Amercian Federation of Teachers-Oregon Candidate PAC,Miscellaneous,08/21/2006,08/31/2006,Amendment,113
American Federation of Teachers-Oregon Comm on Political Education PAC,Miscellaneous,04/12/2006,08/20/2006,Amendment,113
American Fed of Teachers-Oregon Comm on Political Education PAC,Miscellaneous,01/30/2006,04/11/2006,Amendment,113
AFT-Oregon Cope PAC,Miscellaneous,07/01/2005,01/29/2006,Amendment,113
AFT-Oregon Cope PAC,Miscellaneous,03/15/2005,06/30/2005,Amendment,113
AFT-Oregon Cope PAC,Miscellaneous,10/20/2004,03/14/2005,Amendment,113
AFT-Oregon Cope PAC,Miscellaneous,08/02/2004,10/19/2004,Amendment,113
AFT-Oregon Cope PAC,Miscellaneous,01/15/2004,08/01/2004,Amendment,113
AFT-Oregon Cope PAC,Miscellaneous,05/14/2003,01/14/2004,Amendment,113
AFT-Oregon Legislative PAC,Miscellaneous,11/05/2002,05/13/2003,Amendment,113
AFT-Oregon Legislative PAC,Miscellaneous,10/01/2002,11/04/2002,Amendment,113
AFT-Oregon Legislative PAC,Miscellaneous,04/29/2002,09/30/2002,Amendment,113
AFT-Oregon Legislative PAC,Miscellaneous,07/20/2001,04/28/2002,Amendment,113
