election,active_date,status,active_reason,committee_id
2018 Primary Election,02/21/2018,Active,System Generated / Primary or General Election,252
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,252
2016 Primary Election,03/14/2016,Active,System Generated / Primary or General Election,252
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,252
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,252
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,252
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,252
2010 General Election,07/26/2010,Active,System Generated / Primary or General Election,252
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,252
2010 Statewide Special Election,11/20/2009,Active,Statement of Organization,252
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,252
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,252
2007 November Election,11/04/2007,Active,Contribution to Active Candidate or Measure Committee,252
2006 General Election,,Inactive,,252
2006 Primary Election,,Inactive,,252
2004 General Election,,Inactive,,252
2004 Primary Election,,Inactive,,252
2002 General Election,,Inactive,,252
2002 Primary Election,,Inactive,,252
2000 General Election,,Inactive,,252
1998 General Election,,Inactive,,252
1998 Biennial Primary Election,,Inactive,,252
1996 General Election,,Inactive,,252
1996 Primary Election,,Inactive,,252
1994 General Election,,Inactive,,252
1994 Primary,,Inactive,,252
1992 General Election,,Inactive,,252
1992 Primary Election,,Inactive,,252
1990 General Election,,Inactive,,252
2018 General Election,03/07/2018,Active,Contribution to Active Candidate or Measure Committee,2069
2018 Primary Election,10/14/2016,Active,Contribution to Active Candidate or Measure Committee,2069
2017 May Election,03/06/2017,Active,Contribution to Active Candidate or Measure Committee,2069
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,2069
2016 Primary Election,01/08/2015,Active,Contribution to Active Candidate or Measure Committee,2069
2015 May Election,03/12/2015,Active,Contribution to Active Candidate or Measure Committee,2069
2014 General Election,05/06/2014,Active,Contribution to Active Candidate or Measure Committee,2069
2014 Primary Election,08/02/2012,Active,Contribution to Active Candidate or Measure Committee,2069
2013 November Election,10/23/2013,Active,Contribution to Active Candidate or Measure Committee,2069
2013 May Election,04/16/2013,Active,Contribution to Active Candidate or Measure Committee,2069
2012 General Election,04/17/2012,Active,Contribution to Active Candidate or Measure Committee,2069
2012 Primary Election,07/20/2011,Active,Contribution to Active Candidate or Measure Committee,2069
2011 November Election,09/20/2011,Active,Contribution to Active Candidate or Measure Committee,2069
2011 May Election,04/21/2011,Active,Contribution to Active Candidate or Measure Committee,2069
2011 March Election,01/26/2011,Active,Contribution to Active Candidate or Measure Committee,2069
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,2069
2010 Primary Election,02/22/2010,Active,System Generated / Primary or General Election,2069
2010 Statewide Special Election,10/28/2009,Active,Statement of Organization,2069
2009 May Election,04/28/2009,Active,Contribution to Active Candidate or Measure Committee,2069
