committee_id,total_transactions
16010,134
15556,51
15659,176
16015,35
15220,1
15143,92
15673,31
15523,181
15348,1242
15576,161
15868,206
15089,3571
15667,70
15182,25
15623,128
15984,80
15432,329
15577,175
15322,0
15261,72
16040,54
14998,43
15425,1138
15343,91
15711,52
16007,73
14931,261
14942,490
15894,177
15144,238
16044,23
14922,321
15669,51
15468,51
15969,61
15237,1785
15393,0
15181,109
15627,2140
16093,2
15104,100
15605,94
15519,1044
15229,42
15420,104
15618,13
15485,237
15980,33
15634,82
15454,69
