committee_id,total_transactions
14352,245
14060,1413
13991,218
13943,29
14342,661
14880,1
14481,42
14211,99
13920,10766
14459,140
14325,653
13789,288
14295,140
14594,58
14265,849
14539,113
14066,0
13934,90
14584,234
14606,70
13635,2931
14250,76
13982,37
14149,39
14105,45
14044,2023
13619,93
14048,0
14713,41
14531,596
14490,323
14705,60
14592,3343
14242,303
14528,1069
14159,59
14046,1767
14024,113
14825,11
13983,674
14572,99
14059,26
14364,1190
14052,1297
15377,364
14377,1839
14344,91
13836,2340
14035,322
13980,193
